sentence,translate,divided_sentence,divided_sentence_with_ruby,sentence_with_ruby,level
我々の至上命題はこの紛争にすっぱりと終止符を打つことであって、そのために妥協点を探ることも辞さない。,"우리의 최우선 명제는 이 갈등을 완전히 종식시키는 것이며, 이를 위해 타협점을 모색하는 것도 마다하지 않을 것이다.","[""我々の"", ""至上命題は"", ""この紛争に"", ""すっぱりと"", ""終止符を"", ""打つことであって"", ""そのために"", ""妥協点を"", ""探ることも"", ""辞さない""]","[""<ruby>我々<rp>(</rp><rt>われわれ</rt><rp>)</rp></ruby>の"", ""<ruby>至上<rp>(</rp><rt>しじょう</rt><rp>)</rp></ruby><ruby>命題<rp>(</rp><rt>めいだい</rt><rp>)</rp></ruby>は"", ""この<ruby>紛争<rp>(</rp><rt>ふんそう</rt><rp>)</rp></ruby>に"", ""すっぱりと"", ""<ruby>終止符<rp>(</rp><rt>しゅうしふ</rt><rp>)</rp></ruby>を"", ""<ruby>打<rp>(</rp><rt>う</rt><rp>)</rp></ruby>つことであって"", ""そのために"", ""<ruby>妥協<rp>(</rp><rt>だきょう</rt><rp>)</rp></ruby><ruby>点<rp>(</rp><rt>てん</rt><rp>)</rp></ruby>を"", ""<ruby>探<rp>(</rp><rt>さぐ</rt><rp>)</rp></ruby>ることも"", ""<ruby>辞<rp>(</rp><rt>じ</rt><rp>)</rp></ruby>さない""]",<ruby>我々<rp>(</rp><rt>われわれ</rt><rp>)</rp></ruby>の<ruby>至上<rp>(</rp><rt>しじょう</rt><rp>)</rp></ruby><ruby>命題<rp>(</rp><rt>めいだい</rt><rp>)</rp></ruby>はこの<ruby>紛争<rp>(</rp><rt>ふんそう</rt><rp>)</rp></ruby>にすっぱりと<ruby>終止符<rp>(</rp><rt>しゅうしふ</rt><rp>)</rp></ruby>を<ruby>打<rp>(</rp><rt>う</rt><rp>)</rp></ruby>つことであって、そのために<ruby>妥協<rp>(</rp><rt>だきょう</rt><rp>)</rp></ruby><ruby>点<rp>(</rp><rt>てん</rt><rp>)</rp></ruby>を<ruby>探<rp>(</rp><rt>さぐ</rt><rp>)</rp></ruby>ることも<ruby>辞<rp>(</rp><rt>じ</rt><rp>)</rp></ruby>さない。,N2
トムは盗んだ車で逃走した。,톰은 훔친 차로 도주했다.,"[""トムは"", ""盗んだ"", ""車で"", ""逃走した。""]","[""トムは"", ""<ruby>盗<rp>(</rp><rt>ぬす</rt><rp>)</rp></ruby>んだ"", ""<ruby>車<rp>(</rp><rt>くるま</rt><rp>)</rp></ruby>で"", ""<ruby>逃走<rp>(</rp><rt>とうそう</rt><rp>)</rp></ruby>した。""]",トムは<ruby>盗<rp>(</rp><rt>ぬす</rt><rp>)</rp></ruby>んだ<ruby>車<rp>(</rp><rt>くるま</rt><rp>)</rp></ruby>で<ruby>逃走<rp>(</rp><rt>とうそう</rt><rp>)</rp></ruby>した。,N1
彼は逃亡を図った。,그는 도망치려 했다.,"[""彼は"", ""逃亡を"", ""図った。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>逃亡<rp>(</rp><rt>とうぼう</rt><rp>)</rp></ruby>を"", ""<ruby>図<rp>(</rp><rt>はか</rt><rp>)</rp></ruby>った。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>逃亡<rp>(</rp><rt>とうぼう</rt><rp>)</rp></ruby>を<ruby>図<rp>(</rp><rt>はか</rt><rp>)</rp></ruby>った。,N1
好機を逃がすな。,기회를 놓치지 마라.,"[""好機を"", ""逃がすな。""]","[""<ruby>好機<rp>(</rp><rt>こうき</rt><rp>)</rp></ruby>を"", ""<ruby>逃<rp>(</rp><rt>に</rt><rp>)</rp></ruby>がすな。""]",<ruby>好機<rp>(</rp><rt>こうき</rt><rp>)</rp></ruby>を<ruby>逃<rp>(</rp><rt>に</rt><rp>)</rp></ruby>がすな。,N2
好機を逃すな。,기회를 놓치지 마세요.,"[""好機"", ""を"", ""逃す"", ""な。""]","[""<ruby>好機<rp>(</rp><rt>こうき</rt><rp>)</rp></ruby>"", ""を"", ""<ruby>逃<rp>(</rp><rt>のが</rt><rp>)</rp></ruby>す"", ""な。""]",<ruby>好機<rp>(</rp><rt>こうき</rt><rp>)</rp></ruby>を<ruby>逃<rp>(</rp><rt>のが</rt><rp>)</rp></ruby>すな。,N2
逃げる。,도망친다.,"[""逃げる。""]","[""<ruby>逃<rp>(</rp><rt>に</rt><rp>)</rp></ruby>げる。""]",<ruby>逃<rp>(</rp><rt>に</rt><rp>)</rp></ruby>げる。,N4
私は再び死から逃れることができた。,나는 다시 한 번 죽음에서 벗어날 수 있었다.,"[""私は"", ""再び"", ""死から"", ""逃れることができた""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>は"", ""<ruby>再<rp>(</rp><rt>ふたた</rt><rp>)</rp></ruby>び"", ""<ruby>死<rp>(</rp><rt>し</rt><rp>)</rp></ruby>から"", ""<ruby>逃<rp>(</rp><rt>のが</rt><rp>)</rp></ruby>れることができた""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>は<ruby>再<rp>(</rp><rt>ふたた</rt><rp>)</rp></ruby>び<ruby>死<rp>(</rp><rt>し</rt><rp>)</rp></ruby>から<ruby>逃<rp>(</rp><rt>のが</rt><rp>)</rp></ruby>れることができた。,N1
骨折はしてない。,골절은 없다.,"[""骨折は"", ""してない。""]","[""<ruby>骨折<rp>(</rp><rt>こっせつ</rt><rp>)</rp></ruby>は"", ""してない。""]",<ruby>骨折<rp>(</rp><rt>こっせつ</rt><rp>)</rp></ruby>はしてない。,N2
迷路の中で、道を間違えて、回り込んでしまった。,"미로 속에서 길을 잘못 들어가고, 돌아서서 돌아갔다.","[""迷路の中で"", ""道を間違えて"", ""回り込んでしまった""]","[""<ruby>迷路<rp>(</rp><rt>めいろ</rt><rp>)</rp></ruby>の<ruby>中<rp>(</rp><rt>なか</rt><rp>)</rp></ruby>で"", ""<ruby>道<rp>(</rp><rt>みち</rt><rp>)</rp></ruby>を<ruby>間違<rp>(</rp><rt>まちが</rt><rp>)</rp></ruby>えて"", ""<ruby>回<rp>(</rp><rt>まわ</rt><rp>)</rp></ruby>り<ruby>込<rp>(</rp><rt>こ</rt><rp>)</rp></ruby>んでしまった""]",<ruby>迷路<rp>(</rp><rt>めいろ</rt><rp>)</rp></ruby>の<ruby>中<rp>(</rp><rt>なか</rt><rp>)</rp></ruby>で、<ruby>道<rp>(</rp><rt>みち</rt><rp>)</rp></ruby>を<ruby>間違<rp>(</rp><rt>まちが</rt><rp>)</rp></ruby>えて、<ruby>回<rp>(</rp><rt>まわ</rt><rp>)</rp></ruby>り<ruby>込<rp>(</rp><rt>こ</rt><rp>)</rp></ruby>んでしまった。,N2
四天王も倒した、クソ長い地下迷宮もクリアした。,"사천왕도 쓰러뜨렸고, 길고 긴 지하 미궁도 클리어했다.","[""四天王も"", ""倒した、"", ""クソ長い"", ""地下迷宮も"", ""クリアした。""]","[""<ruby>四天王<rp>(</rp><rt>してんのう</rt><rp>)</rp></ruby>も"", ""<ruby>倒<rp>(</rp><rt>たお</rt><rp>)</rp></ruby>した、"", ""クソ<ruby>長<rp>(</rp><rt>なが</rt><rp>)</rp></ruby>い"", ""<ruby>地下<rp>(</rp><rt>ちか</rt><rp>)</rp></ruby><ruby>迷宮<rp>(</rp><rt>めいきゅう</rt><rp>)</rp></ruby>も"", ""クリアした。""]",<ruby>四天王<rp>(</rp><rt>してんのう</rt><rp>)</rp></ruby>も<ruby>倒<rp>(</rp><rt>たお</rt><rp>)</rp></ruby>した、クソ<ruby>長<rp>(</rp><rt>なが</rt><rp>)</rp></ruby>い<ruby>地下<rp>(</rp><rt>ちか</rt><rp>)</rp></ruby><ruby>迷宮<rp>(</rp><rt>めいきゅう</rt><rp>)</rp></ruby>もクリアした。,etc
夜に爪を切るなって、まだそんな迷信を信じてるの？,밤에 손톱을 자르지 말라는 미신을 아직도 믿으십니까?,"[""夜に"", ""爪を切るなって"", ""まだ"", ""そんな"", ""迷信を"", ""信じてるの？""]","[""<ruby>夜<rp>(</rp><rt>よる</rt><rp>)</rp></ruby>に"", ""<ruby>爪<rp>(</rp><rt>つめ</rt><rp>)</rp></ruby>を<ruby>切<rp>(</rp><rt>き</rt><rp>)</rp></ruby>るなって"", ""まだ"", ""そんな"", ""<ruby>迷<ruby>信<rp>(</rp><rt>しん</rt><rp>)</rp></ruby><rp>(</rp><rt>めいしん</rt><rp>)</rp></ruby>を"", ""<ruby>信<rp>(</rp><rt>しん</rt><rp>)</rp></ruby>じてるの？""]",<ruby>夜<rp>(</rp><rt>よる</rt><rp>)</rp></ruby>に<ruby>爪<rp>(</rp><rt>つめ</rt><rp>)</rp></ruby>を<ruby>切<rp>(</rp><rt>き</rt><rp>)</rp></ruby>るなって、まだそんな<ruby>迷信<rp>(</rp><rt>めいしん</rt><rp>)</rp></ruby>を<ruby>信<rp>(</rp><rt>しん</rt><rp>)</rp></ruby>じてるの？,N2
簡単に迷子になる。,쉽게 길을 잃는다.,"[""簡単に"", ""迷子になる。""]","[""<ruby>簡単<rp>(</rp><rt>かんたん</rt><rp>)</rp></ruby>に"", ""<ruby>迷子<rp>(</rp><rt>まいご</rt><rp>)</rp></ruby>になる。""]",<ruby>簡単<rp>(</rp><rt>かんたん</rt><rp>)</rp></ruby>に<ruby>迷子<rp>(</rp><rt>まいご</rt><rp>)</rp></ruby>になる。,N3
悪夢に魘された。,악몽에 시달렸다.,"[""悪夢に"", ""魘された。""]","[""<ruby>悪夢<rp>(</rp><rt>あくむ</rt><rp>)</rp></ruby>に"", ""<ruby>魘<rp>(</rp><rt>うな</rt><rp>)</rp></ruby>された。""]",<ruby>悪夢<rp>(</rp><rt>あくむ</rt><rp>)</rp></ruby>に<ruby>魘<rp>(</rp><rt>うな</rt><rp>)</rp></ruby>された。,etc
フランスやドイツをはじめとした大陸ヨーロッパは夢想を本当に実現するので好きです。,프랑스와 독일을 비롯한 유럽 대륙은 꿈을 실현할 수 있는 곳이라 좋아합니다.,"[""フランスや"", ""ドイツを"", ""はじめとした"", ""大陸ヨーロッパは"", ""夢想を"", ""本当に"", ""実現するので"", ""好きです。""]","[""フランスや"", ""ドイツを"", ""はじめとした"", ""<ruby>大陸<rp>(</rp><rt>たいりく</rt><rp>)</rp></ruby>ヨーロッパは"", ""<ruby>夢想<rp>(</rp><rt>むそう</rt><rp>)</rp></ruby>を"", ""<ruby>本当<rp>(</rp><rt>ほんとう</rt><rp>)</rp></ruby>に"", ""<ruby>実現<rp>(</rp><rt>じつげん</rt><rp>)</rp></ruby>するので"", ""<ruby>好<rp>(</rp><rt>す</rt><rp>)</rp></ruby>きです。""]",フランスやドイツをはじめとした<ruby>大陸<rp>(</rp><rt>たいりく</rt><rp>)</rp></ruby>ヨーロッパは<ruby>夢想<rp>(</rp><rt>むそう</rt><rp>)</rp></ruby>を<ruby>本当<rp>(</rp><rt>ほんとう</rt><rp>)</rp></ruby>に<ruby>実現<rp>(</rp><rt>じつげん</rt><rp>)</rp></ruby>するので<ruby>好<rp>(</rp><rt>す</rt><rp>)</rp></ruby>きです。,etc
夢をつかめ！,꿈을 잡아라!,"[""夢を"", ""つかめ！""]","[""<ruby>夢<rp>(</rp><rt>ゆめ</rt><rp>)</rp></ruby>を"", ""つかめ！""]",<ruby>夢<rp>(</rp><rt>ゆめ</rt><rp>)</rp></ruby>をつかめ！,N4
みんな夢を見る。,누구나 꿈을 꾼다.,"[""みんな"", ""夢を"", ""見る。""]","[""みんな"", ""<ruby>夢<rp>(</rp><rt>ゆめ</rt><rp>)</rp></ruby>を"", ""<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>る。""]",みんな<ruby>夢<rp>(</rp><rt>ゆめ</rt><rp>)</rp></ruby>を<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>る。,etc
メアリーが頭にタオルを巻いてシャワーから出てきました。,메리가 머리에 수건을 두르고 샤워실에서 나왔다.,"[""メアリーが"", ""頭に"", ""タオルを巻いて"", ""シャワーから"", ""出てきました。""]","[""メアリーが"", ""<ruby>頭<rp>(</rp><rt>あたま</rt><rp>)</rp></ruby>に"", ""タオルを<ruby>巻<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>いて"", ""シャワーから"", ""<ruby>出<rp>(</rp><rt>で</rt><rp>)</rp></ruby>てきました。""]",メアリーが<ruby>頭<rp>(</rp><rt>あたま</rt><rp>)</rp></ruby>にタオルを<ruby>巻<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>いてシャワーから<ruby>出<rp>(</rp><rt>で</rt><rp>)</rp></ruby>てきました。,etc
練習問題の解答は巻末にまとめてあります。,연습문제 해답은 책 말미에 정리되어 있습니다.,"[""練習問題"", ""の"", ""解答"", ""は"", ""巻末"", ""に"", ""まとめて"", ""あります""]","[""<ruby>練習<rp>(</rp><rt>れんしゅう</rt><rp>)</rp></ruby><ruby>問題<rp>(</rp><rt>もんだい</rt><rp>)</rp></ruby>"", ""の"", ""<ruby>解答<rp>(</rp><rt>かいとう</rt><rp>)</rp></ruby>"", ""は"", ""<ruby>巻末<rp>(</rp><rt>かんまつ</rt><rp>)</rp></ruby>"", ""に"", ""まとめて"", ""あります""]",<ruby>練習<rp>(</rp><rt>れんしゅう</rt><rp>)</rp></ruby><ruby>問題<rp>(</rp><rt>もんだい</rt><rp>)</rp></ruby>の<ruby>解答<rp>(</rp><rt>かいとう</rt><rp>)</rp></ruby>は<ruby>巻末<rp>(</rp><rt>かんまつ</rt><rp>)</rp></ruby>にまとめてあります。,etc
圧巻とはまさにこのことを言うんだろうな。,압권이란 바로 이런 것을 말하는 것이겠지.,"[""圧巻とは"", ""まさに"", ""このことを"", ""言うんだろうな。""]","[""<ruby>圧巻<rp>(</rp><rt>あっかん</rt><rp>)</rp></ruby>とは"", ""まさに"", ""このことを"", ""<ruby>言<rp>(</rp><rt>い</rt><rp>)</rp></ruby>うんだろうな。""]",<ruby>圧巻<rp>(</rp><rt>あっかん</rt><rp>)</rp></ruby>とはまさにこのことを<ruby>言<rp>(</rp><rt>い</rt><rp>)</rp></ruby>うんだろうな。,etc
燃焼には酸素が必要です。,연소에는 산소가 필요합니다.,"[""燃焼には"", ""酸素が"", ""必要です。""]","[""<ruby>燃焼<rp>(</rp><rt>ねんしょう</rt><rp>)</rp></ruby>には"", ""<ruby>酸素<rp>(</rp><rt>さんそ</rt><rp>)</rp></ruby>が"", ""<ruby>必要<rp>(</rp><rt>ひつよう</rt><rp>)</rp></ruby>です。""]",<ruby>燃焼<rp>(</rp><rt>ねんしょう</rt><rp>)</rp></ruby>には<ruby>酸素<rp>(</rp><rt>さんそ</rt><rp>)</rp></ruby>が<ruby>必要<rp>(</rp><rt>ひつよう</rt><rp>)</rp></ruby>です。,N1
石炭は化石燃料だ。,석탄은 화석연료다.,"[""石炭は"", ""化石燃料だ。""]","[""<ruby>石炭<rp>(</rp><rt>せきたん</rt><rp>)</rp></ruby>は"", ""<ruby>化石<rp>(</rp><rt>かせき</rt><rp>)</rp></ruby><ruby>燃料<rp>(</rp><rt>ねんりょう</rt><rp>)</rp></ruby>だ。""]",<ruby>石炭<rp>(</rp><rt>せきたん</rt><rp>)</rp></ruby>は<ruby>化石<rp>(</rp><rt>かせき</rt><rp>)</rp></ruby><ruby>燃料<rp>(</rp><rt>ねんりょう</rt><rp>)</rp></ruby>だ。,N1
原子力発電所の１号機で、原子炉内の燃料の溶融が進んでいる可能性が高い、と発表された。,원자력발전소 1호기에서 원자로 내 연료가 녹아내리고 있을 가능성이 높다고 발표했다.,"[""原子力発電所の"", ""１号機で"", ""原子炉内の"", ""燃料の溶融が"", ""進んでいる可能性が"", ""高い"", ""と発表された""]","[""<ruby><ruby>原子<rp>(</rp><rt>げんし</rt><rp>)</rp></ruby>力<rp>(</rp><rt>げんしりょく</rt><rp>)</rp></ruby><ruby>発電<rp>(</rp><rt>はつでん</rt><rp>)</rp></ruby><ruby>所<rp>(</rp><rt>しょ</rt><rp>)</rp></ruby>の"", ""１<ruby>号機<rp>(</rp><rt>ごうき</rt><rp>)</rp></ruby>で"", ""<ruby>原子<rp>(</rp><rt>げんし</rt><rp>)</rp></ruby><ruby>炉<rp>(</rp><rt>ろ</rt><rp>)</rp></ruby><ruby>内<rp>(</rp><rt>ない</rt><rp>)</rp></ruby>の"", ""<ruby>燃料<rp>(</rp><rt>ねんりょう</rt><rp>)</rp></ruby>の<ruby>溶融<rp>(</rp><rt>ようゆう</rt><rp>)</rp></ruby>が"", ""<ruby>進<rp>(</rp><rt>すす</rt><rp>)</rp></ruby>んでいる<ruby>可能<rp>(</rp><rt>かのう</rt><rp>)</rp></ruby><ruby>性<rp>(</rp><rt>せい</rt><rp>)</rp></ruby>が"", ""<ruby>高<rp>(</rp><rt>たか</rt><rp>)</rp></ruby>い"", ""と<ruby>発表<rp>(</rp><rt>はっぴょう</rt><rp>)</rp></ruby>された""]",<ruby>原子力<rp>(</rp><rt>げんしりょく</rt><rp>)</rp></ruby><ruby>発電<rp>(</rp><rt>はつでん</rt><rp>)</rp></ruby><ruby>所<rp>(</rp><rt>しょ</rt><rp>)</rp></ruby>の１<ruby>号機<rp>(</rp><rt>ごうき</rt><rp>)</rp></ruby>で、<ruby>原子<rp>(</rp><rt>げんし</rt><rp>)</rp></ruby><ruby>炉<rp>(</rp><rt>ろ</rt><rp>)</rp></ruby><ruby>内<rp>(</rp><rt>ない</rt><rp>)</rp></ruby>の<ruby>燃料<rp>(</rp><rt>ねんりょう</rt><rp>)</rp></ruby>の<ruby>溶融<rp>(</rp><rt>ようゆう</rt><rp>)</rp></ruby>が<ruby>進<rp>(</rp><rt>すす</rt><rp>)</rp></ruby>んでいる<ruby>可能<rp>(</rp><rt>かのう</rt><rp>)</rp></ruby><ruby>性<rp>(</rp><rt>せい</rt><rp>)</rp></ruby>が<ruby>高<rp>(</rp><rt>たか</rt><rp>)</rp></ruby>い、と<ruby>発表<rp>(</rp><rt>はっぴょう</rt><rp>)</rp></ruby>された。,etc
何時閉店ですか。,폐점 시간은 몇 시인가요?,"[""何時"", ""閉店"", ""です"", ""か""]","[""<ruby>何<rp>(</rp><rt>なん</rt><rp>)</rp></ruby><ruby>時<rp>(</rp><rt>じ</rt><rp>)</rp></ruby>"", ""<ruby>閉店<rp>(</rp><rt>へいてん</rt><rp>)</rp></ruby>"", ""です"", ""か""]",<ruby>何<rp>(</rp><rt>なん</rt><rp>)</rp></ruby><ruby>時<rp>(</rp><rt>じ</rt><rp>)</rp></ruby><ruby>閉店<rp>(</rp><rt>へいてん</rt><rp>)</rp></ruby>ですか。,etc
オリンピックの閉会式って、見た？,"올림픽 폐막식, 보셨나요?","[""オリンピックの"", ""閉会式って"", ""見た""]","[""オリンピックの"", ""<ruby>閉会<rp>(</rp><rt>へいかい</rt><rp>)</rp></ruby><ruby>式<rp>(</rp><rt>しき</rt><rp>)</rp></ruby>って"", ""<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>た""]",オリンピックの<ruby>閉会<rp>(</rp><rt>へいかい</rt><rp>)</rp></ruby><ruby>式<rp>(</rp><rt>しき</rt><rp>)</rp></ruby>って、<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>た？,N2
門を閉める時間だ。,문을 닫을 시간이다.,"[""門を"", ""閉める"", ""時間だ。""]","[""<ruby>門<rp>(</rp><rt>もん</rt><rp>)</rp></ruby>を"", ""<ruby>閉<rp>(</rp><rt>し</rt><rp>)</rp></ruby>める"", ""<ruby>時間<rp>(</rp><rt>じかん</rt><rp>)</rp></ruby>だ。""]",<ruby>門<rp>(</rp><rt>もん</rt><rp>)</rp></ruby>を<ruby>閉<rp>(</rp><rt>し</rt><rp>)</rp></ruby>める<ruby>時間<rp>(</rp><rt>じかん</rt><rp>)</rp></ruby>だ。,N5
2時半に閉まる。,2시 반에 문을 닫는다.,"[""2時半"", ""に"", ""閉まる""]","[""2<ruby>時半<rp>(</rp><rt>じはん</rt><rp>)</rp></ruby>"", ""に"", ""<ruby>閉<rp>(</rp><rt>し</rt><rp>)</rp></ruby>まる""]",2<ruby>時半<rp>(</rp><rt>じはん</rt><rp>)</rp></ruby>に<ruby>閉<rp>(</rp><rt>し</rt><rp>)</rp></ruby>まる。,etc
その舞台は主人公の死で幕を閉じる。,그 무대는 주인공의 죽음으로 막을 내린다.,"[""その"", ""舞台は"", ""主人公の"", ""死で"", ""幕を閉じる。""]","[""その"", ""<ruby>舞台<rp>(</rp><rt>ぶたい</rt><rp>)</rp></ruby>は"", ""<ruby>主人公<rp>(</rp><rt>しゅじんこう</rt><rp>)</rp></ruby>の"", ""<ruby>死<rp>(</rp><rt>し</rt><rp>)</rp></ruby>で"", ""<ruby>幕<rp>(</rp><rt>まく</rt><rp>)</rp></ruby>を<ruby>閉<rp>(</rp><rt>と</rt><rp>)</rp></ruby>じる。""]",その<ruby>舞台<rp>(</rp><rt>ぶたい</rt><rp>)</rp></ruby>は<ruby>主人公<rp>(</rp><rt>しゅじんこう</rt><rp>)</rp></ruby>の<ruby>死<rp>(</rp><rt>し</rt><rp>)</rp></ruby>で<ruby>幕<rp>(</rp><rt>まく</rt><rp>)</rp></ruby>を<ruby>閉<rp>(</rp><rt>と</rt><rp>)</rp></ruby>じる。,N4
これは由緒正しい桜なのです。,이것은 유서 깊은 벚꽃입니다.,"[""これは"", ""由緒正しい"", ""桜なのです""]","[""これは"", ""<ruby>由緒<rp>(</rp><rt>ゆいしょ</rt><rp>)</rp></ruby><ruby>正<rp>(</rp><rt>ただ</rt><rp>)</rp></ruby>しい"", ""<ruby>桜<rp>(</rp><rt>さくら</rt><rp>)</rp></ruby>なのです""]",これは<ruby>由緒<rp>(</rp><rt>ゆいしょ</rt><rp>)</rp></ruby><ruby>正<rp>(</rp><rt>ただ</rt><rp>)</rp></ruby>しい<ruby>桜<rp>(</rp><rt>さくら</rt><rp>)</rp></ruby>なのです。,etc
一緒に来るの？,함께 오시나요?,"[""一緒に"", ""来る"", ""の？""]","[""<ruby>一緒<rp>(</rp><rt>いっしょ</rt><rp>)</rp></ruby>に"", ""<ruby>来<rp>(</rp><rt>く</rt><rp>)</rp></ruby>る"", ""の？""]",<ruby>一緒<rp>(</rp><rt>いっしょ</rt><rp>)</rp></ruby>に<ruby>来<rp>(</rp><rt>く</rt><rp>)</rp></ruby>るの？,N4
内緒だよ。,비밀이야.,"[""内緒"", ""だ"", ""よ""]","[""<ruby>内緒<rp>(</rp><rt>ないしょ</rt><rp>)</rp></ruby>"", ""だ"", ""よ""]",<ruby>内緒<rp>(</rp><rt>ないしょ</rt><rp>)</rp></ruby>だよ。,N1
少しの間だけでも一緒に戦ってくれるだけで御の字よ。,잠시라도 함께 싸워주는 것만으로도 고마워요.,"[""少しの間だけでも"", ""一緒に"", ""戦ってくれるだけで"", ""御の字よ""]","[""<ruby>少<rp>(</rp><rt>すこ</rt><rp>)</rp></ruby>しの<ruby>間<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>だけでも"", ""<ruby>一緒<rp>(</rp><rt>いっしょ</rt><rp>)</rp></ruby>に"", ""<ruby>戦<rp>(</rp><rt>たたか</rt><rp>)</rp></ruby>ってくれるだけで"", ""<ruby>御<rp>(</rp><rt>おん</rt><rp>)</rp></ruby>の<ruby>字<rp>(</rp><rt>じ</rt><rp>)</rp></ruby>よ""]",<ruby>少<rp>(</rp><rt>すこ</rt><rp>)</rp></ruby>しの<ruby>間<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>だけでも<ruby>一緒<rp>(</rp><rt>いっしょ</rt><rp>)</rp></ruby>に<ruby>戦<rp>(</rp><rt>たたか</rt><rp>)</rp></ruby>ってくれるだけで<ruby>御<rp>(</rp><rt>おん</rt><rp>)</rp></ruby>の<ruby>字<rp>(</rp><rt>じ</rt><rp>)</rp></ruby>よ。,etc
どうしよう。下駄の鼻緒が切れちゃった。,어떡하지. 나막신 코끈이 끊어졌어.,"[""どうしよう。"", ""下駄の"", ""鼻緒が"", ""切れちゃった。""]","[""どうしよう。"", ""<ruby>下駄<rp>(</rp><rt>げた</rt><rp>)</rp></ruby>の"", ""<ruby>鼻緒<rp>(</rp><rt>はなお</rt><rp>)</rp></ruby>が"", ""<ruby>切<rp>(</rp><rt>き</rt><rp>)</rp></ruby>れちゃった。""]",どうしよう。<ruby>下駄<rp>(</rp><rt>げた</rt><rp>)</rp></ruby>の<ruby>鼻緒<rp>(</rp><rt>はなお</rt><rp>)</rp></ruby>が<ruby>切<rp>(</rp><rt>き</rt><rp>)</rp></ruby>れちゃった。,etc
日本に駐留していた米軍人と日本人女性の間に生まれた子供のことを、侮蔑の意図を込めて、「あいのこ」と呼んでいました。,일본에 주둔하고 있던 미군과 일본인 여성 사이에서 태어난 아이를 경멸의 의미로 '아이노코'라고 불렀다.,"[""日本に駐留していた"", ""米軍人と"", ""日本人女性の間に"", ""生まれた子供のことを"", ""侮蔑の意図を込めて"", ""「あいのこ」と"", ""呼んでいました""]","[""<ruby>日本<rp>(</rp><rt>にっぽん</rt><rp>)</rp></ruby>に<ruby>駐留<rp>(</rp><rt>ちゅうりゅう</rt><rp>)</rp></ruby>していた"", ""<ruby>米<rp>(</rp><rt>べい</rt><rp>)</rp></ruby><ruby>軍人<rp>(</rp><rt>ぐんじん</rt><rp>)</rp></ruby>と"", ""<ruby>日本<rp>(</rp><rt>にっぽん</rt><rp>)</rp></ruby>人<ruby>女性<rp>(</rp><rt>じょせい</rt><rp>)</rp></ruby>の<ruby>間<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>に"", ""<ruby>生<rp>(</rp><rt>う</rt><rp>)</rp></ruby>まれた<ruby>子供<rp>(</rp><rt>こども</rt><rp>)</rp></ruby>のことを"", ""<ruby>侮蔑<rp>(</rp><rt>ぶべつ</rt><rp>)</rp></ruby>の<ruby>意図<rp>(</rp><rt>いと</rt><rp>)</rp></ruby>を<ruby>込<rp>(</rp><rt>こ</rt><rp>)</rp></ruby>めて"", ""「あいのこ」と"", ""<ruby>呼<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>んでいました""]",<ruby>日本<rp>(</rp><rt>にっぽん</rt><rp>)</rp></ruby>に<ruby>駐留<rp>(</rp><rt>ちゅうりゅう</rt><rp>)</rp></ruby>していた<ruby>米<rp>(</rp><rt>べい</rt><rp>)</rp></ruby><ruby>軍人<rp>(</rp><rt>ぐんじん</rt><rp>)</rp></ruby>と<ruby>日本人<rp>(</rp><rt>にっぽんじん</rt><rp>)</rp></ruby><ruby>女性<rp>(</rp><rt>じょせい</rt><rp>)</rp></ruby>の<ruby>間<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>に<ruby>生<rp>(</rp><rt>う</rt><rp>)</rp></ruby>まれた<ruby>子供<rp>(</rp><rt>こども</rt><rp>)</rp></ruby>のことを、<ruby>侮蔑<rp>(</rp><rt>ぶべつ</rt><rp>)</rp></ruby>の<ruby>意図<rp>(</rp><rt>いと</rt><rp>)</rp></ruby>を<ruby>込<rp>(</rp><rt>こ</rt><rp>)</rp></ruby>めて、「あいのこ」と<ruby>呼<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>んでいました。,etc
